,CompanyName,companyNameLinkedin,companyIndustries
240,Telalink,Telalink,Nan
241,Vanderbilt University Medical Center,Vanderbilt-University-Medical-Center,Hospital & Health Care
242,Birlasoft,Birlasoft,Information Technology & Services
243,Optimation Group,Optimation-Group,Information Technology & Services
244,South Puget Sound Community College,South-Puget-Sound-Community-College,Higher Education
245,"KNBR Investments, LLC",KNBR-Investments-LLC,Graphic Design
246,Aditi Consulting,Aditi-Consulting,Civic & Social Organization
247,"P.T. WEB MEDIA, INC.,",P.T.-WEB-MEDIA-INC.,Nan
248,'Self-Employed'?,'Self-Employed'?,Nan
249,Consolidated Contractors International Company,Consolidated-Contractors-International-Company,Construction
250,Freelance,Freelance,Staffing & Recruiting
251,OSN,OSN,Broadcast Media
252,Qlik,Qlik,Computer Software
253,Adapp Solutions,Adapp-Solutions,Information Technology & Services
254,AIG,AIG,Insurance
255,Worcester Polytechnic Institute,Worcester-Polytechnic-Institute,Higher Education
256,NVIDIA,NVIDIA,Computer Hardware
257,Symantec,Symantec,Computer Software
258,Veritas Technologies LLC,Veritas-Technologies-LLC,Computer Software
259,Government of South Australia,Government-of-South-Australia,Government Administration
260,UBS,UBS,Financial Services
261,Gerling,Gerling,Insurance
262,Colonial First State,Colonial-First-State,Financial Services
263,CSC,CSC,Information Technology & Services
264,Hyro,Hyro,Internet
265,The Kraft Heinz Company,The-Kraft-Heinz-Company,Food & Beverages
266,AIA,AIA,Insurance
267,PACT Group,PACT-Group,"Health, Wellness & Fitness"
268,Goodyear,Goodyear,Automotive
269,Chocolates dos Deuses,Chocolates-dos-Deuses,Nan
270,CNPq,CNPq,Government Administration
271,UniCamp,UniCamp,Events Services
272,EMBRAPA Cear?­ - Agroindustria Tropical - Desafios para o futuro,EMBRAPA-Cear?­---Agroindustria-Tropical---Desafios-para-o-futuro,Farming
273,SIEG - Sociedade Internacional para Excelencia Gerencial,SIEG---Sociedade-Internacional-para-Excelencia-Gerencial,Information Technology & Services
274,UNIFIAN - Faculdades Integradas Anhanguera,UNIFIAN---Faculdades-Integradas-Anhanguera,Nan
275,UNIBAN BRASIL - Universidade Bandeirante,UNIBAN-BRASIL---Universidade-Bandeirante,Nan
276,ELOS Espiritualidade e Lideran??a para Organiza???æes Saud?­veis,ELOS-Espiritualidade-e-Lideran??a-para-Organiza???æes-Saud?­veis,Information Technology & Services
277,Universidade Federal de S?œo Carlos,Universidade-Federal-de-S?œo-Carlos,Nan
278,"Universidade Federal de S?œo Carlos - ""UFSCAR Constroi seu Futuro em Di?­logo com a Sociedade""","Universidade-Federal-de-S?œo-Carlos---""UFSCAR-Constroi-seu-Futuro-em-Di?­logo-com-a-Sociedade""",Nan
279,CATI - Coordenadoria de Assist?¦ncia T??cnica Integral,CATI---Coordenadoria-de-Assist?¦ncia-T??cnica-Integral,Market Research
280,The World Cafe - Caf?? Di?­logo,The-World-Cafe---Caf??-Di?­logo,Management Consulting
281,Sofhar,Sofhar,Information Technology & Services
282,CPFL Energia,CPFL-Energia,Utilities
283,Sistema Fiep,Sistema-Fiep,Civic & Social Organization
284,Universidade Federal de S?œo Paulo,Universidade-Federal-de-S?œo-Paulo,Higher Education
285,Senac,Senac,Higher Education
286,ABRH-RJ,ABRH-RJ,Non-profit Organization Management
287,Industria Quimica Solvay Indupa do Brasil,Industria-Quimica-Solvay-Indupa-do-Brasil,Telecommunications
288,Whirlpool Corporation,Whirlpool-Corporation,Consumer Goods
289,SPU - Secretaria do Patrimonio da Uniao,SPU---Secretaria-do-Patrimonio-da-Uniao,Marketing & Advertising
290,MetoKote Corporation,MetoKote-Corporation,Automotive
291,Grupo Full Jazz,Grupo-Full-Jazz,Marketing & Advertising
292,RNP,RNP,Internet
293,Boehringer Ingelheim,Boehringer-Ingelheim,Pharmaceuticals
294,SISTEMA Faculdade de Medicina USP - Universidade de S?œo Paulo e Hospital das Clinicas,SISTEMA-Faculdade-de-Medicina-USP---Universidade-de-S?œo-Paulo-e-Hospital-das-Clinicas,Investment Management
295,DNV GL,DNV-GL,Public Safety
296,Doutores da Alegria,Doutores-da-Alegria,Non-profit Organization Management
297,"Green Lighting Solutions, Philips",Green-Lighting-Solutions-Philips,Architecture & Planning
298,Grupo Algar,Grupo-Algar,Information Technology & Services
299,INSTITUTO ALANA,INSTITUTO-ALANA,Public Policy
300,Alergoclinica,Alergoclinica,Medical Practice
301,Claro Brasil,Claro-Brasil,Design
302,Wipro Limited,Wipro-Limited,Information Technology & Services
303,Catalyst Production,Catalyst-Production,Public Relations & Communications
304,Creative Instore Solutions,Creative-Instore-Solutions,Publishing
305,Self-employed,Self-employed,Publishing
306,Relationships Australia NSW,Relationships-Australia-NSW,Entertainment
307,Boxwave,Boxwave,Internet
308,Sila Solutions Group,Sila-Solutions-Group,Management Consulting
309,USAA,USAA,Financial Services
310,ManpowerGroup,ManpowerGroup,Staffing & Recruiting
311,Patsystems,Patsystems,Computer Software
312,Wincor Nixdorf,Wincor-Nixdorf,Information Technology & Services
313,Three.,Three.,Nan
314,JP Morgan Chase/Washington Mutual,JP-Morgan-Chase/Washington-Mutual,Information Technology & Services
315,Aerotek/Nintendo,Aerotek/Nintendo,Nan
316,Outerwall,Outerwall,Consumer Services
317,Evergreen Home Loans NMLS 3182,Evergreen-Home-Loans-NMLS-3182,Financial Services
318,TCS\Microsoft,TCS\Microsoft,Nan
319,Cognizant,Cognizant,Information Technology & Services
320,Blue Shield of California,Blue-Shield-of-California,Insurance
321,Costco Wholesale,Costco-Wholesale,Retail
322,Wickedland.com & Instrife.com,Wickedland.com-&-Instrife.com,Nan
323,EnSite Incorporated,EnSite-Incorporated,Oil & Energy
324,Polytope Records,Polytope-Records,Nan
325,National Center for Supercomputing Applications,National-Center-for-Supercomputing-Applications,Research
326,General Motors,General-Motors,Automotive
327,Groupon,Groupon,Internet
328,Twitter,Twitter,Internet
329,Shuffle Master,Shuffle-Master,Media Production
330,Diamond Resorts International??,Diamond-Resorts-International??,Nan
331,HP,HP,Information Technology & Services
332,NOVO Engineering,NOVO-Engineering,Design
333,"Sigma Design, Product Design and Engineering",Sigma-Design-Product-Design-and-Engineering,Pharmaceuticals
334,Wunderman,Wunderman,Marketing & Advertising
335,Microland Limited,Microland-Limited,Information Technology & Services
336,vCustomer,vCustomer,Outsourcing/Offshoring
337,Wipro Ltd. - India,Wipro-Ltd.---India,Information Technology & Services
338,HCL Comnet Limited,HCL-Comnet-Limited,Information Technology & Services
339,Accenture,Accenture,Information Technology & Services
340,NewsCorp/ MCI Internet Ventures,NewsCorp/-MCI-Internet-Ventures,Nan
341,Young & Rubicam New Technologies/ Brand Dialogue/ Luminant Worldwide,Young-&-Rubicam-New-Technologies/-Brand-Dialogue/-Luminant-Worldwide,Media Production
342,Organic,Organic,Marketing & Advertising
343,BrandWizard Technologies (Interbrand),BrandWizard-Technologies,Information Technology & Services
344,9/11 Unitied Services Group (funded by the September 11th Fund),9/11-Unitied-Services-Group,Nan
345,RAPP,RAPP,Marketing & Advertising
346,Digitas Health,Digitas-Health,Marketing & Advertising
347,Virtual University International,Virtual-University-International,Internet
348,SapientRazorfish,SapientRazorfish,Marketing & Advertising
349,SBI.Razorfish,SBI.Razorfish,Nan
350,The New York Times,The-New-York-Times,Newspapers
351,Bundle,Bundle,Information Technology & Services
352,Capital One,Capital-One,Financial Services
353,Yahoo! Inc.,Yahoo!-Inc.,Nan
354,Intergen,Intergen,Information Technology & Services
355,Squiz,Squiz,Information Technology & Services
356,IDC S.p.A,IDC-S.p.A,Market Research
357,Raise Foundation,Raise-Foundation,Non-profit Organization Management
358,Attachmate,Attachmate,Computer Software
359,SAP,SAP,Computer Software
360,Informatica,Informatica,Computer Software
361,AT&T,AT&T,Telecommunications
362,Ivy Softworks,Ivy-Softworks,Computer Software
363,Valley Cafe,Valley-Cafe,Nan
364,Ellensburg Community Radio,Ellensburg-Community-Radio,Nan
365,Xeddi,Xeddi,Information Technology & Services
366,University of Toronto,University-of-Toronto,Higher Education
367,bGlobal Interactive,bGlobal-Interactive,Information Technology & Services
368,Insightin | Technology (desme),Insightin-|-Technology,Nan
369,Gumbuya Inc.,Gumbuya-Inc.,Internet
370,InterAction,InterAction,Public Policy
371,Belkin International,Belkin-International,Consumer Electronics
372,"EVA Automation, Inc.",EVA-Automation-Inc.,Retail
373,Indian Aluminium,Indian-Aluminium,Nan
374,SAS Institute India,SAS-Institute-India,Computer Software
375,"Headquarters Royal Netherlands Army, 1st Army Corps",Headquarters-Royal-Netherlands-Army-1st-Army-Corps,Marketing & Advertising
376,Microsoft International Product Group,Microsoft-International-Product-Group,Computer Software
377,TKS The Training Company,TKS-The-Training-Company,Telecommunications
378,Info Opleiders,Info-Opleiders,Events Services
379,Canal+ Technologies,Canal+-Technologies,Nan
380,Eternal Systems,Eternal-Systems,Computer Software
381,Aventail,Aventail,Computer & Network Security
382,Software Box Ltd,Software-Box-Ltd,Nan
383,Salesforce,Salesforce,Internet
384,Office of the Director of Public Prosecutions,Office-of-the-Director-of-Public-Prosecutions,Mental Health Care
385,Facilitate Digital,Facilitate-Digital,Nan
386,Bullseye,Bullseye,Marketing & Advertising
387,Object Consulting,Object-Consulting,Information Technology & Services
388,MullenLowe Profero,MullenLowe-Profero,Marketing & Advertising
389,Technocrat,Technocrat,Internet
390,Avago Technologies,Avago-Technologies,Semiconductors
391,Siemens,Siemens,Electrical & Electronic Manufacturing
392,WURT,WURT,Nan
393,IssueLive,IssueLive,Nan
394,Staq Inc.,Staq-Inc.,Internet
395,FOVE,FOVE,Marketing & Advertising
396,SAM Labs,SAM-Labs,Primary/Secondary Education
397,Reemo,Reemo,Nan
398,TruRating,TruRating,Market Research
399,Microsoft Game Studios Ireland,Microsoft-Game-Studios-Ireland,Computer Software
400,Unum,Unum,Insurance
401,"PlayFirst, Inc.",PlayFirst-Inc.,Marketing & Advertising
402,Glu Mobile,Glu-Mobile,Computer Games
403,Cambridge Centers,Cambridge-Centers,Building Materials
404,FIli??re Ing??nieur Entreprendre de l'INSA,FIli??re-Ing??nieur-Entreprendre-de-l'INSA,Nan
405,GoneToLyon,GoneToLyon,Nan
406,Teliae,Teliae,Information Technology & Services
407,SlowMove,SlowMove,Nan
